ID,Neighborhood,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10
1,Prarie Hills,43.037,-89.494,4,4,7,10,15,20,25,36,42,45
2,South Midvale,43.031,-89.453,0,0,3,3,3,4,5,5,7,8
3,South Park St,43.042,-89.396,0,1,1,4,6,7,9,13,14,14
4,Moorland-Rimrock,43.039,-89.365,1,1,1,3,6,7,7,7,7,7
5,Stoughton RD,43.085,-89.304,3,6,10,11,17,19,20,20,20,21
6,Far East,43.124,-89.306,1,1,4,6,8,12,14,16,20,21
7,Packers Ave,43.123,-89.358,2,3,4,4,8,9,9,9,10,11
8,Northport Dr,43.139,-89.379,0,2,2,2,2,4,6,7,9,10
9,East,43.104,-89.344,2,3,4,6,10,11,16,19,20,20
10,Near East,43.083,-89.365,0,0,0,0,0,2,3,3,3,3
11,Capitol,43.075,-89.387,4,5,7,8,11,12,13,16,20,22
12,South-East Campus,43.072,-89.401,0,0,1,1,2,2,3,5,8,9
13,Vilas-Regent,43.065,-89.413,0,0,0,0,0,0,0,1,1,2
14,UW-Madison,43.076,-89.428,0,0,0,0,1,1,1,1,1,1
15,West Towne,43.058,-89.501,0,0,1,2,6,7,9,9,10,10
16,Old Middleton,43.09,-89.486,0,0,0,0,0,0,0,0,0,1
